"n","p","replication","implementation","time_seconds","batch_calls"
5000,200,8,"mfscreen",0.000226562499999999,256
5000,200,9,"mfscreen",0.000222656250000008,256
5000,200,10,"mfscreen",0.000226562499999999,256
5000,200,11,"mfscreen",0.000226562499999999,256
5000,200,12,"mfscreen",0.000226562499999999,256
500,1000,1,"mfscreen0",0.000695312499999989,128
500,1000,2,"mfscreen0",0.000695312499999989,128
500,1000,3,"mfscreen0",0.000695312499999989,128
500,1000,4,"mfscreen0",0.00068749999999998,128
500,1000,5,"mfscreen0",0.000695312499999989,128
500,1000,6,"mfscreen0",0.000695312499999989,128
500,1000,7,"mfscreen0",0.000695312499999989,128
500,1000,8,"mfscreen0",0.000687500000000008,128
500,1000,9,"mfscreen0",0.000703124999999999,128
500,1000,10,"mfscreen0",0.000687500000000008,128
500,1000,11,"mfscreen0",0.000687500000000008,128
500,1000,12,"mfscreen0",0.000679687499999998,128
500,1000,1,"mfscreen",0.000148437500000001,512
500,1000,2,"mfscreen",0.000150390624999996,512
500,1000,3,"mfscreen",0.000150390625000003,512
500,1000,4,"mfscreen",0.000150390625000003,512
500,1000,5,"mfscreen",0.000148437500000001,512
500,1000,6,"mfscreen",0.000148437500000001,512
500,1000,7,"mfscreen",0.000150390625000003,512
500,1000,8,"mfscreen",0.000150390624999996,512
500,1000,9,"mfscreen",0.000150390625000003,512
500,1000,10,"mfscreen",0.000150390625000003,512
500,1000,11,"mfscreen",0.000150390624999996,512
500,1000,12,"mfscreen",0.000150390625000003,512
2000,1000,1,"mfscreen0",0.0028125,32
2000,1000,2,"mfscreen0",0.00284375000000003,32
2000,1000,3,"mfscreen0",0.00284375000000003,32
2000,1000,4,"mfscreen0",0.00284375000000003,32
2000,1000,5,"mfscreen0",0.00284375000000003,32
2000,1000,6,"mfscreen0",0.00284375000000003,32
2000,1000,7,"mfscreen0",0.00284375000000003,32
2000,1000,8,"mfscreen0",0.0028125,32
2000,1000,9,"mfscreen0",0.0028125,32
2000,1000,10,"mfscreen0",0.00287499999999996,32
2000,1000,11,"mfscreen0",0.00284375000000003,32
2000,1000,12,"mfscreen0",0.0028125,32
2000,1000,1,"mfscreen",0.000335937499999994,256
2000,1000,2,"mfscreen",0.000339843749999999,256
2000,1000,3,"mfscreen",0.000335937500000008,256
2000,1000,4,"mfscreen",0.000335937500000008,256
2000,1000,5,"mfscreen",0.000335937500000008,256
2000,1000,6,"mfscreen",0.000335937500000008,256
2000,1000,7,"mfscreen",0.000339843749999999,256
2000,1000,8,"mfscreen",0.000339843749999999,256
2000,1000,9,"mfscreen",0.000343750000000004,256
2000,1000,10,"mfscreen",0.000339843749999999,256
2000,1000,11,"mfscreen",0.000335937499999994,256
2000,1000,12,"mfscreen",0.000335937500000008,256
