"n","p","matrix_gb","replication","implementation","time_seconds","batch_calls"
100000,1000,0.745058059692383,1,"mfscreen",0.137,1
100000,1000,0.745058059692383,2,"mfscreen",0.139000000000001,1
100000,1000,0.745058059692383,3,"mfscreen",0.148,1
100000,1000,0.745058059692383,4,"mfscreen",0.138,1
100000,1000,0.745058059692383,5,"mfscreen",0.136000000000001,1
100000,1000,0.745058059692383,1,"mfscreen",0.012375,16
100000,1000,0.745058059692383,2,"mfscreen",0.0121249999999999,16
100000,1000,0.745058059692383,3,"mfscreen",0.0120625,16
100000,1000,0.745058059692383,4,"mfscreen",0.0121874999999999,16
100000,1000,0.745058059692383,5,"mfscreen",0.0120625,16
10000,5000,0.372529029846191,1,"mfscreen",0.0699999999999994,2
10000,5000,0.372529029846191,2,"mfscreen",0.0700000000000003,2
10000,5000,0.372529029846191,3,"mfscreen",0.0705000000000009,2
10000,5000,0.372529029846191,4,"mfscreen",0.0685000000000002,2
10000,5000,0.372529029846191,5,"mfscreen",0.0700000000000003,2
10000,5000,0.372529029846191,6,"mfscreen",0.0694999999999997,2
10000,5000,0.372529029846191,7,"mfscreen",0.0704999999999991,2
10000,5000,0.372529029846191,8,"mfscreen",0.0705000000000009,2
10000,5000,0.372529029846191,1,"mfscreen",0.00640624999999995,32
10000,5000,0.372529029846191,2,"mfscreen",0.00587499999999996,32
10000,5000,0.372529029846191,3,"mfscreen",0.00631250000000005,32
10000,5000,0.372529029846191,4,"mfscreen",0.00609375000000001,32
10000,5000,0.372529029846191,5,"mfscreen",0.00612500000000005,32
10000,5000,0.372529029846191,6,"mfscreen",0.00615624999999997,32
10000,5000,0.372529029846191,7,"mfscreen",0.00609375000000001,32
10000,5000,0.372529029846191,8,"mfscreen",0.00634374999999998,32
50000,5000,1.86264514923096,1,"mfscreen",0.359000000000002,1
50000,5000,1.86264514923096,2,"mfscreen",0.354999999999997,1
50000,5000,1.86264514923096,3,"mfscreen",0.352999999999998,1
50000,5000,1.86264514923096,4,"mfscreen",0.354000000000003,1
