"scenario","method","replication","q","fpr","ssp","selected_count"
"Clean homoskedastic","Spearman SIS",6,0.005,0.00301507537688442,1,8
"Clean homoskedastic","Spearman SIS",6,0.01,0.0110552763819095,1,16
"Clean homoskedastic","Spearman SIS",6,0.025,0.0201005025125628,1,25
"Clean homoskedastic","Spearman SIS",6,0.05,0.0442211055276382,1,49
"Clean homoskedastic","Spearman SIS",6,0.1,0.106532663316583,1,111
"Clean homoskedastic","Spearman SIS",6,0.2,0.212060301507538,1,216
"Clean homoskedastic","Spearman SIS",6,0.3,0.312562814070352,1,316
"Clean homoskedastic","mfscreen",7,0.001,0,1,5
"Clean homoskedastic","mfscreen",7,0.005,0.0050251256281407,1,10
"Clean homoskedastic","mfscreen",7,0.01,0.0100502512562814,1,15
"Clean homoskedastic","mfscreen",7,0.025,0.0321608040201005,1,37
"Clean homoskedastic","mfscreen",7,0.05,0.0522613065326633,1,57
"Clean homoskedastic","mfscreen",7,0.1,0.105527638190955,1,110
"Clean homoskedastic","mfscreen",7,0.2,0.202010050251256,1,206
"Clean homoskedastic","mfscreen",7,0.3,0.294472361809045,1,298
"Clean homoskedastic","Pearson SIS",7,0.001,0,1,5
"Clean homoskedastic","Pearson SIS",7,0.005,0.00402010050251256,1,9
"Clean homoskedastic","Pearson SIS",7,0.01,0.00904522613065327,1,14
"Clean homoskedastic","Pearson SIS",7,0.025,0.0281407035175879,1,33
"Clean homoskedastic","Pearson SIS",7,0.05,0.0532663316582915,1,58
"Clean homoskedastic","Pearson SIS",7,0.1,0.107537688442211,1,112
"Clean homoskedastic","Pearson SIS",7,0.2,0.201005025125628,1,205
"Clean homoskedastic","Pearson SIS",7,0.3,0.294472361809045,1,298
"Clean homoskedastic","Spearman SIS",7,0.001,0,1,5
"Clean homoskedastic","Spearman SIS",7,0.005,0.00301507537688442,1,8
"Clean homoskedastic","Spearman SIS",7,0.01,0.0110552763819095,1,16
"Clean homoskedastic","Spearman SIS",7,0.025,0.0231155778894472,1,28
"Clean homoskedastic","Spearman SIS",7,0.05,0.0542713567839196,1,59
"Clean homoskedastic","Spearman SIS",7,0.1,0.103517587939698,1,108
"Clean homoskedastic","Spearman SIS",7,0.2,0.198994974874372,1,203
"Clean homoskedastic","Spearman SIS",7,0.3,0.288442211055276,1,292
"Clean homoskedastic","mfscreen",8,0.001,0,1,5
"Clean homoskedastic","mfscreen",8,0.005,0.00201005025125628,1,7
"Clean homoskedastic","mfscreen",8,0.01,0.00804020100502513,1,13
"Clean homoskedastic","mfscreen",8,0.025,0.0221105527638191,1,27
"Clean homoskedastic","mfscreen",8,0.05,0.0462311557788945,1,51
"Clean homoskedastic","mfscreen",8,0.1,0.0954773869346734,1,100
"Clean homoskedastic","mfscreen",8,0.2,0.193969849246231,1,198
"Clean homoskedastic","mfscreen",8,0.3,0.294472361809045,1,298
"Clean homoskedastic","Pearson SIS",8,0.001,0,1,5
"Clean homoskedastic","Pearson SIS",8,0.005,0.00100502512562814,1,6
"Clean homoskedastic","Pearson SIS",8,0.01,0.00804020100502513,1,13
"Clean homoskedastic","Pearson SIS",8,0.025,0.021105527638191,1,26
"Clean homoskedastic","Pearson SIS",8,0.05,0.0452261306532663,1,50
"Clean homoskedastic","Pearson SIS",8,0.1,0.0964824120603015,1,101
"Clean homoskedastic","Pearson SIS",8,0.2,0.196984924623116,1,201
"Clean homoskedastic","Pearson SIS",8,0.3,0.293467336683417,1,297
"Clean homoskedastic","Spearman SIS",8,0.001,0,1,5
"Clean homoskedastic","Spearman SIS",8,0.005,0.00301507537688442,1,8
"Clean homoskedastic","Spearman SIS",8,0.01,0.00804020100502513,1,13
"Clean homoskedastic","Spearman SIS",8,0.025,0.0201005025125628,1,25
"Clean homoskedastic","Spearman SIS",8,0.05,0.0402010050251256,1,45
"Clean homoskedastic","Spearman SIS",8,0.1,0.0864321608040201,1,91
"Clean homoskedastic","Spearman SIS",8,0.2,0.2,1,204
"Clean homoskedastic","Spearman SIS",8,0.3,0.293467336683417,1,297
"Clean homoskedastic","mfscreen",9,0.001,0.00100502512562814,1,6
"Clean homoskedastic","mfscreen",9,0.005,0.00402010050251256,1,9
"Clean homoskedastic","mfscreen",9,0.01,0.00603015075376884,1,11
"Clean homoskedastic","mfscreen",9,0.025,0.0241206030150754,1,29
"Clean homoskedastic","mfscreen",9,0.05,0.0542713567839196,1,59
"Clean homoskedastic","mfscreen",9,0.1,0.0984924623115578,1,103
"Clean homoskedastic","mfscreen",9,0.2,0.2,1,204
"Clean homoskedastic","mfscreen",9,0.3,0.30251256281407,1,306
"Clean homoskedastic","Pearson SIS",9,0.001,0,1,5
"Clean homoskedastic","Pearson SIS",9,0.005,0.00402010050251256,1,9
"Clean homoskedastic","Pearson SIS",9,0.01,0.00603015075376884,1,11
"Clean homoskedastic","Pearson SIS",9,0.025,0.0190954773869347,1,24
"Clean homoskedastic","Pearson SIS",9,0.05,0.0492462311557789,1,54
"Clean homoskedastic","Pearson SIS",9,0.1,0.0934673366834171,1,98
"Clean homoskedastic","Pearson SIS",9,0.2,0.194974874371859,1,199
"Clean homoskedastic","Pearson SIS",9,0.3,0.301507537688442,1,305
"Clean homoskedastic","Spearman SIS",9,0.001,0,1,5
"Clean homoskedastic","Spearman SIS",9,0.005,0.00201005025125628,1,7
"Clean homoskedastic","Spearman SIS",9,0.01,0.00703517587939699,1,12
"Clean homoskedastic","Spearman SIS",9,0.025,0.0180904522613065,1,23
"Clean homoskedastic","Spearman SIS",9,0.05,0.0452261306532663,1,50
"Clean homoskedastic","Spearman SIS",9,0.1,0.0874371859296482,1,92
"Clean homoskedastic","Spearman SIS",9,0.2,0.203015075376884,1,207
"Clean homoskedastic","Spearman SIS",9,0.3,0.306532663316583,1,310
"Clean homoskedastic","mfscreen",10,0.001,0.00201005025125628,1,7
"Clean homoskedastic","mfscreen",10,0.005,0.00402010050251256,1,9
"Clean homoskedastic","mfscreen",10,0.01,0.0100502512562814,1,15
"Clean homoskedastic","mfscreen",10,0.025,0.0241206030150754,1,29
"Clean homoskedastic","mfscreen",10,0.05,0.0552763819095477,1,60
"Clean homoskedastic","mfscreen",10,0.1,0.103517587939698,1,108
"Clean homoskedastic","mfscreen",10,0.2,0.217085427135678,1,221
"Clean homoskedastic","mfscreen",10,0.3,0.318592964824121,1,322
"Clean homoskedastic","Pearson SIS",10,0.001,0.00100502512562814,1,6
"Clean homoskedastic","Pearson SIS",10,0.005,0.00402010050251256,1,9
"Clean homoskedastic","Pearson SIS",10,0.01,0.00904522613065327,1,14
"Clean homoskedastic","Pearson SIS",10,0.025,0.0231155778894472,1,28
"Clean homoskedastic","Pearson SIS",10,0.05,0.0532663316582915,1,58
"Clean homoskedastic","Pearson SIS",10,0.1,0.0984924623115578,1,103
"Clean homoskedastic","Pearson SIS",10,0.2,0.219095477386935,1,223
"Clean homoskedastic","Pearson SIS",10,0.3,0.320603015075377,1,324
"Clean homoskedastic","Spearman SIS",10,0.001,0,1,5
"Clean homoskedastic","Spearman SIS",10,0.005,0.00402010050251256,1,9
"Clean homoskedastic","Spearman SIS",10,0.01,0.00703517587939699,1,12
"Clean homoskedastic","Spearman SIS",10,0.025,0.0201005025125628,1,25
"Clean homoskedastic","Spearman SIS",10,0.05,0.050251256281407,1,55
"Clean homoskedastic","Spearman SIS",10,0.1,0.111557788944724,1,116
"Clean homoskedastic","Spearman SIS",10,0.2,0.221105527638191,1,225
"Clean homoskedastic","Spearman SIS",10,0.3,0.319597989949749,1,323
"Clean homoskedastic","mfscreen",11,0.001,0.00100502512562814,1,6
"Clean homoskedastic","mfscreen",11,0.005,0.0050251256281407,1,10
"Clean homoskedastic","mfscreen",11,0.01,0.00603015075376884,1,11
"Clean homoskedastic","mfscreen",11,0.025,0.0231155778894472,1,28
"Clean homoskedastic","mfscreen",11,0.05,0.0492462311557789,1,54
"Clean homoskedastic","mfscreen",11,0.1,0.0964824120603015,1,101
"Clean homoskedastic","mfscreen",11,0.2,0.195979899497487,1,200
"Clean homoskedastic","mfscreen",11,0.3,0.301507537688442,1,305
"Clean homoskedastic","Pearson SIS",11,0.001,0,1,5
"Clean homoskedastic","Pearson SIS",11,0.005,0.00402010050251256,1,9
"Clean homoskedastic","Pearson SIS",11,0.01,0.00804020100502513,1,13
"Clean homoskedastic","Pearson SIS",11,0.025,0.021105527638191,1,26
"Clean homoskedastic","Pearson SIS",11,0.05,0.0512562814070352,1,56
"Clean homoskedastic","Pearson SIS",11,0.1,0.0954773869346734,1,100
"Clean homoskedastic","Pearson SIS",11,0.2,0.191959798994975,1,196
"Clean homoskedastic","Pearson SIS",11,0.3,0.30251256281407,1,306
"Clean homoskedastic","Spearman SIS",11,0.001,0,1,5
"Clean homoskedastic","Spearman SIS",11,0.005,0.00603015075376884,1,11
