"replication","method","target_fdr","rule","tpr","fpr","fdr","selected_count","ssp"
42,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
43,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00100806451612903,0.111111111111111,9,1
43,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
43,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
43,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
44,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00100806451612903,0.111111111111111,9,1
44,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
44,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
44,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
45,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00100806451612903,0.111111111111111,9,1
45,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
45,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
45,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
46,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.0030241935483871,0.272727272727273,11,1
46,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
46,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
46,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
47,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00100806451612903,0.111111111111111,9,1
47,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
47,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
47,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
48,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.0030241935483871,0.272727272727273,11,1
48,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
48,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
48,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
49,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00100806451612903,0.111111111111111,9,1
49,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
49,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
49,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
50,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00201612903225806,0.2,10,1
50,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
50,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
50,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
51,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00403225806451613,0.333333333333333,12,1
51,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
51,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
51,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
52,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00201612903225806,0.2,10,1
52,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
52,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
52,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
53,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00604838709677419,0.428571428571429,14,1
53,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
53,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
53,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
54,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.0030241935483871,0.272727272727273,11,1
54,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
54,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
54,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
55,"mfscreen",0.2,"mfscreen q = 0.00161",1,0,0,8,1
55,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
55,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
55,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
56,"mfscreen",0.2,"mfscreen q = 0.00161",1,0,0,8,1
56,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
56,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
56,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
57,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.0030241935483871,0.272727272727273,11,1
57,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
57,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
57,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
58,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.0030241935483871,0.272727272727273,11,1
58,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
58,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
58,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
59,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.0030241935483871,0.272727272727273,11,1
59,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
59,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
59,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
60,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00504032258064516,0.384615384615385,13,1
60,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
60,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
60,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
