"model","method","replication","q","fpr","ssp"
"Parametric linear","Pearson SIS",16,0.025,0.0361809045226131,1
"Parametric linear","Pearson SIS",16,0.05,0.0623115577889447,1
"Parametric linear","Pearson SIS",16,0.1,0.107537688442211,1
"Parametric linear","Pearson SIS",16,0.2,0.203015075376884,1
"Parametric linear","Pearson SIS",16,0.3,0.310552763819095,1
"Parametric linear","Spearman SIS",16,0.001,0.00100502512562814,0
"Parametric linear","Spearman SIS",16,0.005,0.00402010050251256,1
"Parametric linear","Spearman SIS",16,0.01,0.0120603015075377,1
"Parametric linear","Spearman SIS",16,0.025,0.0281407035175879,1
"Parametric linear","Spearman SIS",16,0.05,0.0582914572864322,1
"Parametric linear","Spearman SIS",16,0.1,0.108542713567839,1
"Parametric linear","Spearman SIS",16,0.2,0.208040201005025,1
"Parametric linear","Spearman SIS",16,0.3,0.314572864321608,1
"Parametric linear","mfscreen",17,0.001,0,0
"Parametric linear","mfscreen",17,0.005,0.00201005025125628,0
"Parametric linear","mfscreen",17,0.01,0.00603015075376884,0
"Parametric linear","mfscreen",17,0.025,0.0241206030150754,1
"Parametric linear","mfscreen",17,0.05,0.050251256281407,1
"Parametric linear","mfscreen",17,0.1,0.109547738693467,1
"Parametric linear","mfscreen",17,0.2,0.208040201005025,1
"Parametric linear","mfscreen",17,0.3,0.310552763819095,1
"Parametric linear","Pearson SIS",17,0.001,0,0
"Parametric linear","Pearson SIS",17,0.005,0.00201005025125628,0
"Parametric linear","Pearson SIS",17,0.01,0.00603015075376884,0
"Parametric linear","Pearson SIS",17,0.025,0.0251256281407035,1
"Parametric linear","Pearson SIS",17,0.05,0.0512562814070352,1
"Parametric linear","Pearson SIS",17,0.1,0.106532663316583,1
"Parametric linear","Pearson SIS",17,0.2,0.206030150753769,1
"Parametric linear","Pearson SIS",17,0.3,0.310552763819095,1
"Parametric linear","Spearman SIS",17,0.001,0.00100502512562814,0
"Parametric linear","Spearman SIS",17,0.005,0.00301507537688442,0
"Parametric linear","Spearman SIS",17,0.01,0.00804020100502513,0
"Parametric linear","Spearman SIS",17,0.025,0.0261306532663317,1
"Parametric linear","Spearman SIS",17,0.05,0.0562814070351759,1
"Parametric linear","Spearman SIS",17,0.1,0.105527638190955,1
