"method","replication","q","fpr"
"mfscreen",24,0.025,0.018
"mfscreen",24,0.05,0.042
"mfscreen",24,0.1,0.097
"mfscreen",24,0.2,0.187
"mfscreen",24,0.3,0.303
"Pearson SIS",24,0.001,0.027
"Pearson SIS",24,0.005,0.064
"Pearson SIS",24,0.01,0.092
"Pearson SIS",24,0.025,0.136
"Pearson SIS",24,0.05,0.185
"Pearson SIS",24,0.1,0.277
"Pearson SIS",24,0.2,0.409
"Pearson SIS",24,0.3,0.509
"Spearman SIS",24,0.001,0.003
"Spearman SIS",24,0.005,0.011
"Spearman SIS",24,0.01,0.019
"Spearman SIS",24,0.025,0.05
"Spearman SIS",24,0.05,0.093
"Spearman SIS",24,0.1,0.142
"Spearman SIS",24,0.2,0.247
"Spearman SIS",24,0.3,0.344
"mfscreen",25,0.001,0.002
"mfscreen",25,0.005,0.006
"mfscreen",25,0.01,0.01
"mfscreen",25,0.025,0.027
"mfscreen",25,0.05,0.055
"mfscreen",25,0.1,0.105
"mfscreen",25,0.2,0.203
"mfscreen",25,0.3,0.318
"Pearson SIS",25,0.001,0.033
"Pearson SIS",25,0.005,0.065
"Pearson SIS",25,0.01,0.098
"Pearson SIS",25,0.025,0.15
"Pearson SIS",25,0.05,0.204
"Pearson SIS",25,0.1,0.297
"Pearson SIS",25,0.2,0.428
"Pearson SIS",25,0.3,0.523
"Spearman SIS",25,0.001,0.004
"Spearman SIS",25,0.005,0.009
"Spearman SIS",25,0.01,0.013
"Spearman SIS",25,0.025,0.03
"Spearman SIS",25,0.05,0.061
"Spearman SIS",25,0.1,0.13
"Spearman SIS",25,0.2,0.243
"Spearman SIS",25,0.3,0.345
"mfscreen",26,0.001,0.001
"mfscreen",26,0.005,0.005
"mfscreen",26,0.01,0.009
"mfscreen",26,0.025,0.024
"mfscreen",26,0.05,0.05
"mfscreen",26,0.1,0.092
"mfscreen",26,0.2,0.185
"mfscreen",26,0.3,0.286
"Pearson SIS",26,0.001,0.029
