"method","replication","q","fpr"
"Pearson SIS",96,0.001,0.05
"Pearson SIS",96,0.005,0.095
"Pearson SIS",96,0.01,0.122
"Pearson SIS",96,0.025,0.172
"Pearson SIS",96,0.05,0.235
"Pearson SIS",96,0.1,0.316
"Pearson SIS",96,0.2,0.436
"Pearson SIS",96,0.3,0.549
"Spearman SIS",96,0.001,0.002
"Spearman SIS",96,0.005,0.013
"Spearman SIS",96,0.01,0.019
"Spearman SIS",96,0.025,0.034
"Spearman SIS",96,0.05,0.072
"Spearman SIS",96,0.1,0.147
"Spearman SIS",96,0.2,0.25
"Spearman SIS",96,0.3,0.358
"mfscreen",97,0.001,0.001
"mfscreen",97,0.005,0.009
"mfscreen",97,0.01,0.018
"mfscreen",97,0.025,0.032
"mfscreen",97,0.05,0.05
"mfscreen",97,0.1,0.102
"mfscreen",97,0.2,0.204
"mfscreen",97,0.3,0.322
"Pearson SIS",97,0.001,0.033
"Pearson SIS",97,0.005,0.07
"Pearson SIS",97,0.01,0.094
"Pearson SIS",97,0.025,0.141
"Pearson SIS",97,0.05,0.198
"Pearson SIS",97,0.1,0.302
"Pearson SIS",97,0.2,0.434
"Pearson SIS",97,0.3,0.528
"Spearman SIS",97,0.001,0.001
"Spearman SIS",97,0.005,0.01
"Spearman SIS",97,0.01,0.02
"Spearman SIS",97,0.025,0.044
"Spearman SIS",97,0.05,0.077
"Spearman SIS",97,0.1,0.132
"Spearman SIS",97,0.2,0.252
"Spearman SIS",97,0.3,0.347
"mfscreen",98,0.001,0.001
"mfscreen",98,0.005,0.005
"mfscreen",98,0.01,0.01
"mfscreen",98,0.025,0.035
"mfscreen",98,0.05,0.056
"mfscreen",98,0.1,0.118
"mfscreen",98,0.2,0.227
"mfscreen",98,0.3,0.343
"Pearson SIS",98,0.001,0.105
"Pearson SIS",98,0.005,0.175
"Pearson SIS",98,0.01,0.219
"Pearson SIS",98,0.025,0.288
"Pearson SIS",98,0.05,0.345
"Pearson SIS",98,0.1,0.414
"Pearson SIS",98,0.2,0.512
"Pearson SIS",98,0.3,0.604
"Spearman SIS",98,0.001,0.001
"Spearman SIS",98,0.005,0.01
"Spearman SIS",98,0.01,0.018
"Spearman SIS",98,0.025,0.045
"Spearman SIS",98,0.05,0.083
"Spearman SIS",98,0.1,0.164
"Spearman SIS",98,0.2,0.272
"Spearman SIS",98,0.3,0.37
"mfscreen",99,0.001,0
"mfscreen",99,0.005,0.003
"mfscreen",99,0.01,0.013
"mfscreen",99,0.025,0.033
"mfscreen",99,0.05,0.058
"mfscreen",99,0.1,0.102
"mfscreen",99,0.2,0.2
"mfscreen",99,0.3,0.315
"Pearson SIS",99,0.001,0.052
"Pearson SIS",99,0.005,0.085
"Pearson SIS",99,0.01,0.113
"Pearson SIS",99,0.025,0.166
"Pearson SIS",99,0.05,0.215
"Pearson SIS",99,0.1,0.313
"Pearson SIS",99,0.2,0.439
"Pearson SIS",99,0.3,0.525
"Spearman SIS",99,0.001,0.003
"Spearman SIS",99,0.005,0.012
"Spearman SIS",99,0.01,0.021
"Spearman SIS",99,0.025,0.052
"Spearman SIS",99,0.05,0.083
"Spearman SIS",99,0.1,0.138
"Spearman SIS",99,0.2,0.246
"Spearman SIS",99,0.3,0.339
"mfscreen",100,0.001,0.002
"mfscreen",100,0.005,0.005
"mfscreen",100,0.01,0.01
"mfscreen",100,0.025,0.031
"mfscreen",100,0.05,0.061
"mfscreen",100,0.1,0.123
"mfscreen",100,0.2,0.216
"mfscreen",100,0.3,0.325
"Pearson SIS",100,0.001,0.04
"Pearson SIS",100,0.005,0.086
"Pearson SIS",100,0.01,0.113
"Pearson SIS",100,0.025,0.167
"Pearson SIS",100,0.05,0.216
"Pearson SIS",100,0.1,0.318
"Pearson SIS",100,0.2,0.425
"Pearson SIS",100,0.3,0.517
"Spearman SIS",100,0.001,0.001
"Spearman SIS",100,0.005,0.009
"Spearman SIS",100,0.01,0.016
"Spearman SIS",100,0.025,0.032
"Spearman SIS",100,0.05,0.07
"Spearman SIS",100,0.1,0.133
"Spearman SIS",100,0.2,0.253
"Spearman SIS",100,0.3,0.356
